timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
11/14/17 5:57,Apple,M1,Software Engineering Manager,385000,"San Francisco, CA",7,1,NA,215000,120000,50000,NA,NA,7419,807,145,0,0,0,0,0,0,0,0,0,0,NA,NA
11/14/17 20:39,Google,T3,Software Engineer,158000,"Mountain View, CA",0,0,NA,116000,25000,17000,NA,NA,7322,807,146,0,0,0,0,0,0,0,0,0,0,NA,NA
11/15/17 10:25,Amazon,L4,Software Engineer,148000,"Sunnyvale, CA",1,1,NA,0,0,0,NA,NA,7472,807,147,0,0,0,0,0,0,0,0,0,0,NA,NA
11/16/17 18:40,Google,L4,Software Engineer,273000,"Sunnyvale, CA",1,1,NA,131000,112000,30000,NA,"Bonus includes on call compensation, referral, and annual",7472,807,149,0,0,0,0,0,0,0,0,0,0,NA,NA
11/18/17 12:46,Microsoft,63,Software Engineer,240000,"Redmond, WA",6,1,NA,150700,120000,40000,NA,40K signon for years,11521,819,152,0,0,0,0,0,0,0,0,0,0,NA,NA
11/20/17 14:46,Google,L4,Software Engineer,268000,"Mountain View, CA",5,3.5,NA,142000,100000,26000,NA,NA,7322,807,155,0,0,0,0,0,0,0,0,0,0,NA,NA
11/24/17 13:53,Amazon,L6,Software Engineering Manager,290000,"Seattle, WA",10,4,NA,160000,130000,0,NA,NA,11527,819,158,0,0,0,0,0,0,0,0,0,0,NA,NA
11/26/17 10:24,Lyft,T5,Software Engineer,400000,"Seattle, WA",5,1,NA,190000,200000,0,NA,NA,11527,819,160,0,0,0,0,0,0,0,0,0,0,NA,NA
11/29/17 10:36,Sony,L2,Software Engineer,125000,"Aliso Viejo, CA",5,1,NA,120000,0,5000,NA,NA,12794,803,161,0,0,0,0,0,0,0,0,0,0,NA,NA
11/30/17 22:47,Amazon,L5,Software Engineer,178000,"Seattle, WA",10,5.5,NA,132000,48000,0,NA,NA,11527,819,166,0,0,0,0,0,0,0,0,0,0,NA,NA
12/3/17 13:37,Uber,Senior,Software Engineer,377000,"San Francisco, CA",8,1,NA,185000,173000,19000,NA,NA,7419,807,167,0,0,0,0,0,0,0,0,0,0,NA,NA
12/5/17 17:51,Linkedin,Product Manager,Product Manager,250000,"Sunnyvale, CA",3,1,NA,160000,70000,16000,NA,NA,7472,807,169,0,0,0,0,0,0,0,0,0,0,NA,NA
12/6/17 10:19,Adobe,Software Engineer 3,Software Engineer,165000,"San Jose, CA",4,1,NA,135000,25000,5000,NA,NA,7422,807,170,0,0,0,0,0,0,0,0,0,0,NA,NA
12/7/17 3:57,Amazon,L6,Software Engineer,90000,"Bangalore, KA, India",8,8,NA,0,0,0,NA,NA,4058,0,173,0,0,0,0,0,0,0,0,0,0,NA,NA
12/14/17 22:26,Amazon,L5,Software Engineer,250000,"San Francisco, CA",10,1,NA,160000,55000,35000,NA,NA,7419,807,175,0,0,0,0,0,0,0,0,0,0,NA,NA
12/15/17 15:36,Google,T3,Software Engineer,166000,"Mountain View, CA",0,0,NA,116000,32500,17500,NA,NA,7322,807,176,0,0,0,0,0,0,0,0,0,0,NA,NA
12/18/17 16:51,Yelp,New Grad,Software Engineer,150000,"San Francisco, CA",1,0,NA,12500,25000,10000,NA,NA,7419,807,177,0,0,0,0,0,0,0,0,0,0,NA,NA
12/18/17 21:49,Microsoft,63,Product Manager,164000,"Redmond, WA",10,3,NA,134000,15000,15000,NA,NA,11521,819,178,0,0,0,0,0,0,0,0,0,0,NA,NA
12/22/17 17:27,Microsoft,64,Software Engineer,220000,"Redmond, WA",10,10,NA,164000,28000,28000,NA,NA,11521,819,180,0,0,0,0,0,0,0,0,0,0,NA,NA
12/23/17 23:11,Airbnb,L5,Software Engineer,345000,"San Francisco, CA",9,0,NA,0,0,0,NA,NA,7419,807,184,0,0,0,0,0,0,0,0,0,0,NA,NA
12/27/17 20:39,Amazon,L6,Software Engineering Manager,500000,"San Francisco, CA",15,2,NA,170000,110000,220000,NA,NA,7419,807,189,0,0,0,0,0,0,0,0,0,0,NA,NA
12/28/17 1:43,Microsoft,64,Product Manager,120000,"Bangalore, KA, India",10,6,NA,78000,40000,2000,NA,NA,4058,0,191,0,0,0,0,0,0,0,0,0,0,NA,NA
12/28/17 13:02,Amazon,L6,Software Engineer,295000,"Seattle, WA",12,4,NA,160000,135000,0,NA,NA,11527,819,192,0,0,0,0,0,0,0,0,0,0,NA,NA
12/29/17 14:37,EPAM,Senior,Software Engineer,30000,"Minsk, HM, Belarus",10,5,NA,0,0,0,NA,outsource,3444,0,194,0,0,0,0,0,0,0,0,0,0,NA,NA
1/2/18 23:26,Google,T2,Software Engineer,110000,"New York, NY",0,0,NA,95000,0,5000,NA,10k relocation,10182,501,199,0,0,0,0,0,0,0,0,0,0,NA,NA
1/3/18 8:42,Amazon,L6,Software Engineering Manager,500000,"Sunnyvale, CA",11,5,NA,183000,317000,0,NA,NA,7472,807,200,0,0,0,0,0,0,0,0,0,0,NA,NA
